path,bytes,duration_s,codec,channels,sample_rate,mtime_utc
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/04-que-vibe.wav",1612844,18.285714,pcm_s16le,1,44100,"2026-08-24 21:45:05.136929449 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/05-pop.wav",1435162,16.271179,pcm_s16le,1,44100,"2026-08-24 21:45:05.144929549 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/05-snow-snake.wav",1058444,12.000000,pcm_s16le,1,44100,"2026-08-24 21:45:05.152929648 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/06-wild-cards.wav",1411244,16.000000,pcm_s16le,1,44100,"2026-08-24 21:45:05.160929748 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/01-trap-cabnets.mp3",1867694,77.792653,mp3,2,44100,"2026-09-06 03:31:58.383329932 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/02-lofi-midnight.mp3",1968631,81.998367,mp3,2,44100,"2026-09-06 03:31:58.587332464 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/03-electro-neon.mp3",1830078,76.225306,mp3,2,44100,"2026-09-06 03:31:58.879336089 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/04-pop-radio.mp3",1758607,73.247347,mp3,2,44100,"2026-09-06 03:31:59.255340757 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/05-country-fridge.mp3",1844497,76.826122,mp3,2,44100,"2026-09-06 03:31:59.535344232 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/06-funk-cookout.mp3",1761742,73.377959,mp3,2,44100,"2026-09-06 03:31:59.915348949 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/07-synthwave-retro.mp3",2004994,83.513469,mp3,2,44100,"2026-09-06 03:31:59.915348949 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/album-v2/08-icy.mp3",2141040,89.182041,mp3,2,44100,"2026-09-06 03:31:59.915348949 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-country-fridge.mp3",507283,76.826122,mp3,1,44100,"2026-08-24 21:45:05.164929798 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-country-fridge.wav",6773804,76.800000,pcm_s16le,1,44100,"2026-08-24 21:45:05.208930347 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-electro-neon.mp3",433527,60.029388,mp3,1,44100,"2026-08-24 21:45:05.216930447 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-electro-neon.wav",5292044,60.000000,pcm_s16le,1,44100,"2026-08-24 21:45:05.264931046 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-funk-cookout.mp3",488880,71.157551,mp3,1,44100,"2026-08-24 21:45:05.268931096 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-funk-cookout.wav",6272044,71.111111,pcm_s16le,1,44100,"2026-08-24 21:45:05.328931844 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-icy.mp3",592941,96.026122,mp3,1,44100,"2026-08-24 21:45:05.332931894 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-icy.wav",8467244,96.000000,pcm_s16le,1,44100,"2026-08-24 21:45:05.372932393 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-lofi-midnight.mp3",602276,98.507755,mp3,1,44100,"2026-08-24 21:45:05.372932393 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-lofi-midnight.wav",8684350,98.461519,pcm_s16le,1,44100,"2026-08-24 21:45:05.408932842 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-pop-radio.mp3",453447,65.123265,mp3,1,44100,"2026-08-24 21:45:05.412932892 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-pop-radio.wav",5740518,65.084739,pcm_s16le,1,44100,"2026-08-24 21:45:05.440933241 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/bangers/01-cab-nets.wav",1814442,41.142812,pcm_s16le,1,22050,"2026-08-24 21:45:05.512934139 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-synthwave-retro.mp3",475526,68.597551,mp3,1,44100,"2026-08-24 21:45:05.444933291 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-synthwave-retro.wav",6048044,68.571429,pcm_s16le,1,44100,"2026-08-24 21:45:05.472933640 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-trap-cabnets.mp3",417121,54.883265,mp3,1,44100,"2026-08-24 21:45:05.476933690 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/banger-trap-cabnets.wav",4838444,54.857143,pcm_s16le,1,44100,"2026-08-24 21:45:05.500933990 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/01-hood-anthem.mp3",115785,13.740408,mp3,1,44100,"2026-08-24 21:45:53.605534073 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/01-lofi.mp3",178569,24.659592,mp3,1,44100,"2026-08-24 21:45:53.605534073 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/02-electro.mp3",153699,15.046531,mp3,1,44100,"2026-08-24 21:45:53.609534123 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/02-fridge-theme.mp3",101727,21.368163,mp3,1,44100,"2026-08-24 21:45:53.609534123 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/03-trap.mp3",115313,13.740408,mp3,1,44100,"2026-08-24 21:45:53.609534123 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/03-vin-theme.mp3",134401,26.697143,mp3,1,44100,"2026-08-24 21:45:53.609534123 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/04-country.mp3",147114,19.226122,mp3,1,44100,"2026-08-24 21:45:53.609534123 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/04-que-vibe.mp3",150791,18.311837,mp3,1,44100,"2026-08-24 21:45:53.613534173 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/05-pop.mp3",140126,16.300408,mp3,1,44100,"2026-08-24 21:45:53.613534173 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/05-snow-snake.mp3",49474,12.042449,mp3,1,44100,"2026-08-24 21:45:53.613534173 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/06-wild-cards.mp3",146038,16.039184,mp3,1,44100,"2026-08-24 21:45:53.613534173 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/mp3/spread-da-word-intro-trap.mp3",116336,13.740408,mp3,1,44100,"2026-08-24 21:45:53.613534173 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/audio/spread-da-word-intro-trap.wav",1209644,13.714286,pcm_s16le,1,44100,"2026-08-24 21:45:04.632923161 -0400"
"/home/zax/Biz/z-dot-team/resources/snowsnakes/spread-da-word/intro-music.wav",553058,12.540000,pcm_s16le,1,22050,"2026-08-24 21:45:03.288906395 -0400"
"/home/zax/Downloads/snow-beats-loop-100bpm.wav",846764,9.600000,pcm_s16le,1,44100,"2026-08-24 19:35:47.322122750 -0400"
